name,ratified_by,date,note
Coorte do Ukon,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.12)
Gigiri,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.12)
Maroro,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.12)
Mikado,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.12)
Ukon,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.12)
Yamato,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.12)
Anju,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.15)
Atuy,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.15)
Ennakamuy,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.15)
Kiwru,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.15)
Shyahoro,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.15)
Karulau,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.16)
Kurarin,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.16)
Yuuri,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.16)
Bokoinante,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.17)
Chalafun,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.17)
Dekopompo,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.17)
Nugwisomkami,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.17)
Touka,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.17)
Miruhj,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.18)
Mito,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.18)
Munechika,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.18)
Raurau,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.18)
Soyankekur,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.18)
Honoka,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Kamunagi,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Magecraft,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Nosuri Bandits,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Raiko,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Saraana,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Shichirya,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Uruuru,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.19)
Akuruturuka,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Entua,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Gundhurua,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Jachdwalt,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Maruruha,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Nakwan,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Shinonon,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Uzurusha,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Uzurushan,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Vurai,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Woshis,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Yamatan,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Zeguni,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.20)
Amaterasu,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Aruruu,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Camyu,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Chii,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Earth,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Imperial Cloister,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Neko,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Onkamiyamukai,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Onvitaikayan,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
Tuskur,Felipe Scudeller,2026-06-14,ratificado via chat; pesquisa wiki reconciliada (cap.22)
